title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Towards reducing hallucination in extracting information from financial reports using large language models,"B Sarmah, D Mehta, S Pasquali, T Zhu",2023.0,46,… This dataset forms a critical foundation for our subsequent analysis and investigation into information extraction using large language models. Table 1 summarizes basic statistics of the …,99AC4ykl4V8J,"B Sarmah, D Mehta, S Pasquali, T Zhu - Proceedings of the Third …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3639856.3639895,unknown,unknown
Hallucinations and key information extraction in medical texts: A comprehensive assessment of open-source large language models,"AB Das, S Ahmed, SK Sakib",2025.0,14,… publicly available large language models to assess their performance in summarizing discharge summaries from the MIMIC-IV dataset. • Analysis of Key Event Extraction Capabilities: …,qk-RL8rLgoYJ,"AB Das, S Ahmed, SK Sakib - 2025 IEEE EMBS International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11269492/,unknown,unknown
Mitigating hallucinations of large language models in medical information extraction via contrastive decoding,"D Xu, Z Zhang, Z Zhu, Z Lin, Q Liu, X Wu…",2024.0,26,"… significant hallucination challenges for LLMs, hindering their widespread adoption. In this paper, we address these hallucination issues in the context of Medical Information Extraction (…",XTkVAsuAumcJ,"D Xu, Z Zhang, Z Zhu, Z Lin, Q Liu, X Wu… - Findings of the …, 2024 - aclanthology.org",[],https://aclanthology.org/2024.findings-emnlp.456/,unknown,unknown
"Knowledge graphs, large language models, and hallucinations: An NLP perspective","E Lavrinovics, R Biswas, J Bjerva, K Hose",2025.0,153,"… hallucinations in LLMs and mitigation models, whereas in this paper we focus on the KG-based hallucination mitigation models… Fact selection relies on the information extraction abilities …",RDGqWmOrc_gJ,"E Lavrinovics, R Biswas, J Bjerva, K Hose - Journal of Web Semantics, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1570826824000301,unknown,unknown
On large language models' hallucination with regard to known facts,"C Jiang, B Qi, X Hong, D Fu, Y Cheng…",2024.0,90,"… Erroneously decoded outputs bypass this information extraction process, being compelled to initiate decoding before being continuously conjectured up to the last layer, thus not …",QdQv1PEy8RIJ,"C Jiang, B Qi, X Hong, D Fu, Y Cheng… - … : Human Language …, 2024 - aclanthology.org",[],https://aclanthology.org/2024.naacl-long.60/,unknown,unknown
Large language models for generative information extraction: A survey,"D Xu, W Chen, W Peng, C Zhang, T Xu, X Zhao…",2024.0,651,"… to effectively handle different information extraction tasks, it is necessary to … extraction models becomes … The emergence of large language models (LLMs), such as GPT-4 [9], has …",2TTrsweb-qYJ,"D Xu, W Chen, W Peng, C Zhang, T Xu, X Zhao… - Frontiers of Computer …, 2024 - Springer",[],https://link.springer.com/article/10.1007/s11704-024-40555-y,unknown,unknown
"The rise of hallucination in large language models: systematic reviews, performance analysis and challenges","S Abdullahi, KU Danyaro, H Chiroma",2026.0,15,"… , and WSDM further demonstrate the cross-domain influence of hallucination research, bridging NLP with computer vision, information retrieval, and multimodal reasoning. The growing …",h2hcvJ2DKzsJ,"S Abdullahi, KU Danyaro, H Chiroma - Cluster Computing, 2026 - Springer",[],https://link.springer.com/article/10.1007/s10586-025-05891-z,unknown,unknown
"Lesser the shots, higher the hallucinations: Exploration of genetic information extraction using generative large language models","M Kodikara, K Verspoor",2024.0,4,… literature texts through automated information extraction (IE) … generative large language models (LLMs) on the extraction … entity recognition and relation extraction. We experiment across …,GqawP7YcoN0J,"M Kodikara, K Verspoor - … Workshop of the Australasian Language …, 2024 - aclanthology.org",[],https://aclanthology.org/2024.alta-1.10/,unknown,unknown
"A survey on hallucination in large language models: Principles, taxonomy, challenges, and open questions","L Huang, W Yu, W Ma, W Zhong, Z Feng…",2025.0,6918,"… the reliability of LLMs in real-world information retrieval (IR) systems and has … hallucinations. Given the open-ended general-purpose attributes inherent to LLMs, LLM hallucinations …",DtD6Zi8WBLEJ,"L Huang, W Yu, W Ma, W Zhong, Z Feng… - … on information systems, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3703155,unknown,unknown
Open information extraction for fact-checking large language models,I Osmanaj,2025.0,1,"… In this study, we proposed a novel framework for hallucination detection in large language models (LLMs), focusing on knowledge-level validation through structured triplet extraction …",b1-L9xRMxJ0J,I Osmanaj - 2025 - repositum.tuwien.at,[],https://repositum.tuwien.at/handle/20.500.12708/216542,unknown,unknown
A systematic literature review of hallucinations in large language models,"C Woesle, L Fischer-Brandies, R Buettner",2025.0,27,… on hallucinations in large language models using a descriptive scheme that links model … -and-verification loops that pre-empt hallucinations; transfer proven causal-intervention and …,s6r--NGqW4EJ,"C Woesle, L Fischer-Brandies, R Buettner - IEEE Access, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11132297/,unknown,unknown
Cognitive mirage: A review of hallucinations in large language models,"H Ye, T Liu, A Zhang, W Hua, W Jia",2023.0,328,"… be evidenced or negated by reference to external facts in the real world. Uncritical trust in LLMs … the risk of hallucinations, we summarize recent progress in hallucination theories and …",m0g8_Ayz--wJ,"H Ye, T Liu, A Zhang, W Hua, W Jia - arXiv preprint arXiv:2309.06794, 2023 - arxiv.org",[],https://arxiv.org/abs/2309.06794,unknown,unknown
A comprehensive survey of hallucination mitigation techniques in large language models,"SM Tonmoy, SM Zaman, V Jain, A Rani…",2024.0,996,"… : Large language models (LLMs) often exhibit hallucination in abstractive summarization tasks, even when the necessary information … sis, and information retrieval. Thus, several studies …",nNXoVOlDA7sJ,"SM Tonmoy, SM Zaman, V Jain, A Rani… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2401.01313,unknown,unknown
Llm-check: Investigating detection of hallucinations in large language models,"G Sriramanan, S Bharti, VS Sadasivan…",2024.0,283,"… We propose these two distinct lines of analysis towards hallucination detection, which we … diversified forms of hallucination displayed by modern Large Language Models over different …",026dcirzYB8J,"G Sriramanan, S Bharti, VS Sadasivan… - … neural information …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/3c1e1fdf305195cd620c118aaa9717ad-Abstract-Conference.html,unknown,unknown
Hallucination mitigation techniques in large language models,"MAM Abdelghafour, M Mabrouk…",2024.0,24,"… models information retrieval capabilities. It modifies interactions with a large language model (LLM) so that the model … , using this information to augment information drawn from its own …",cgue8D538fMJ,"MAM Abdelghafour, M Mabrouk… - … Computing and Information …, 2024 - journals.ekb.eg",[],https://journals.ekb.eg/article_406701.html,unknown,unknown
Mitigating entity-level hallucination in large language models,"W Su, Y Tang, Q Ai, C Wang, Z Wu, Y Liu",2024.0,60,… This hallucination phenomenon has led to users’ distrust in information retrieval systems … paper proposes Dynamic Retrieval Augmentation based on hallucination Detection (DRAD) as …,okHDFodWIPgJ,"W Su, Y Tang, Q Ai, C Wang, Z Wu, Y Liu - … in Information Retrieval in the …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3673791.3698403,unknown,unknown
