title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Semantic anchoring in agentic memory: Leveraging linguistic structures for persistent conversational context,"M Chatterjee, D Agarwal",2025,6,"… coreference resolution to create structured memory entries. Experiments on adapted long-term dialogue … adapted and real-world multi-session dialogue datasets, showing consistent …",NrTMgWOuyzwJ,"M Chatterjee, D Agarwal - arXiv preprint arXiv:2508.12630, 2025 - arxiv.org",[],https://arxiv.org/abs/2508.12630,unknown,unknown
Simplemem: Efficient lifelong memory for llm agents,"J Liu, Y Su, P Xia, S Han, Z Zheng, C Xie…",2026,21,"… , coreference resolution, and temporal anchoring as a joint generation task. The transformation projects the raw dialogue … SimpleMem processes multi-session dialogues by filtering …",qcLZpSbisFUJ,"J Liu, Y Su, P Xia, S Han, Z Zheng, C Xie… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.02553,unknown,unknown
"Hindsight is 20/20: Building agent memory that retains, recalls, and reflects","C Latimer, N Boschi, A Neeser, C Bartholomew…",2025,45,"… architectures on multi-session and open-domain questions. … narrative fact extraction, entity resolution, and link construction. … coreference resolution over the conversation to identify entity …",DhA_wsY2hCoJ,"C Latimer, N Boschi, A Neeser, C Bartholomew… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2512.12818,unknown,unknown
Himem: Hierarchical long-term memory for llm long-horizon agents,"N Zhang, X Yang, Z Tan, W Deng, W Wang",2026,12,"… of relative time expressions, coreference resolution for entity mentions, and extraction of … LoCoMo consists of multi-session dialogues with an average length of approximately 600 …",1DYtZTFnhZwJ,"N Zhang, X Yang, Z Tan, W Deng, W Wang - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.06377,unknown,unknown
MemReranker: Reasoning-Aware Reranking for Agent Memory Retrieval,"C Li, M Zhang, J Kang, D Chen, J Shen, B Tang…",2026,1,"… dialogue data covering temporal constraints, causal reasoning, and coreference resolution. … six categories: knowledge update, multi-session reasoning, single-session assistant/user/…",8M0tWvIDrYUJ,"C Li, M Zhang, J Kang, D Chen, J Shen, B Tang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.06132,unknown,unknown
MemMachine: A ground-truth-preserving memory system for personalized AI agents,"S Wang, E Yu, O Love, T Zhang, T Wong…",2026,13,"… LoCoMo [6] evaluates very long-term conversational memory through multi-session dialogues with single-hop… Queries involve multihop reasoning, coreference resolution, or multi-entity …",mQKMg8ZLtX4J,"S Wang, E Yu, O Love, T Zhang, T Wong… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.04853,unknown,unknown
Personalization and Evaluation of Conversational Information Access,H Joko,2026,0,"… We release the LAPS dataset, a large-scale, multi-session, humanwritten personalized dialogue … and modify coreference resolution techniques to map personal entities to their explicit …",23Wj93bLTEwJ,"H Joko - arXiv preprint arXiv:2606.13717, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.13717,unknown,unknown
AgentMemBench: A Systematic Benchmark for Evaluating Long-Term Memory Management Strategies in Conversational AI Agents,A Cherif,2026,0,"… available multi-session conversation datasets … An entity graph (GEM) could in principle bridge sessions, but off-the-shelf NER on informal dialogue misses the entities and coreference …",2HA72X2Yg58J,"A Cherif - arXiv preprint arXiv:2608.00009, 2026 - arxiv.org",[],https://arxiv.org/abs/2608.00009,unknown,unknown
Bounded Conversational Memory with Hybrid Retrieval and Evidence Highlighting for Multi-Session Dialogue Systems,"M Mudunuri, CK Guntupalli, MM Kubek…",2026,0,… Full neural coreference resolution was not adopted because long conversational … entity substitutions that would be permanently stored in memory; evaluating broader coreference …,y5U5smP4v3wJ,"M Mudunuri, CK Guntupalli, MM Kubek… - … and Dialogue, 2026 - aclanthology.org",[],https://aclanthology.org/2026.sigdial-1.55/,unknown,unknown
Chronos: Temporal-aware conversational agents with structured event retrieval for long-term memory,"S Sen, E Lumer, A Gulati, VK Subbiah",2026,8,"… dialogue into subject-verb-object event tuples with resolved … elaborate graph structures with entity resolution, fact validation, … strong performance on multisession aggregation (91.73%) …",XXuLgomHJXkJ,"S Sen, E Lumer, A Gulati, VK Subbiah - arXiv preprint arXiv:2603.16862, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.16862,unknown,unknown
