title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
mind_call: A Dataset for Mental Health Function Calling with Large Language Models,"FR Shafi, MA Hossain, S Choudhury",2026.0,1,"… intervals or relative ranges. The task is to learn a mapping … grounding and temporal normalization in natural language … As described earlier, all temporal expressions are normalized …",bO7cMvQEhH8J,"FR Shafi, MA Hossain, S Choudhury - arXiv preprint arXiv:2601.06937, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.06937,unknown,unknown
NanoMem: Iterative Evidence Synthesis for Temporal-Causal Reasoning in Agent Memory,Y Zhu,2026.0,0,"… a long-term conversational memory system can construct compact and temporally grounded evidence at query time, … normalization to resolve relative temporal expressions. At search …",tFFIOK_DGZMJ,Y Zhu - 2026 - odr.chalmers.se,[],https://odr.chalmers.se/server/api/core/bitstreams/75c30332-ac93-47c4-9f32-0f1c9e94fad8/content,unknown,unknown
Parsing time: Learning to interpret time expressions,"G Angeli, CD Manning, D Jurafsky",2012.0,79,… is overlaid with mean at the (normalized) reference time t/∆s; in … probability of a grounding relative to reference time t and a … the probability of a grounded temporal interpretation; we can …,SwsfVhVlWB0J,"G Angeli, CD Manning, D Jurafsky - … of the 2012 Conference of the …, 2012 - aclanthology.org",[],https://aclanthology.org/N12-1049.pdf,unknown,unknown
Language-independent discriminative parsing of temporal expressions,"G Angeli, J Uszkoreit",2013.0,32,"… art accuracy on all languages in the TempEval2 temporal normalization task, reporting a 4% … of an input phrase and an associated grounded time, relative to some reference time; the …",_WNTCsWgZdsJ,"G Angeli, J Uszkoreit - Proceedings of the 51st Annual Meeting of …, 2013 - aclanthology.org",[],https://aclanthology.org/P13-1009.pdf,unknown,unknown
A Semantic Parsing Framework for End-to-End Time Normalization,"X Su, S Yu, P Howard…",2026.0,0,"… , event-relative, and multi-span time expressions. In this work, we … of time normalization as a code generation task grounded in … maps textual temporal expressions to their normalized …",qaxAfTvKB38J,"X Su, S Yu, P Howard… - Advances in Neural …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/e722a7be34788c81b53b744e7c7e675c-Abstract-Conference.html,unknown,unknown
Benchmarking Temporal Reasoning: Can Large Language Models Navigate Time When Stories Refuse to Follow a Straight Line?,"SUN Feifei, Z Tong, C Peng, T Racharak…",,0,"… as GPT-4 occasionally grounding expressions like ""this year"" as … temporal rewriting and normalization, we release a conversion table that records all absolute-to-relative time expression …",FJ843V4BEu4J,"SUN Feifei, Z Tong, C Peng, T Racharak… - First Workshop on … - openreview.net",[],https://openreview.net/forum?id=jogKc4OluB,unknown,unknown
Normalization of relative and incomplete temporal expressions in clinical narratives,"W Sun, A Rumshisky, O Uzuner",2015.0,22,"… meanings are stated as relative values against other time points (eg, “two days before the … their normalized value. For example, the TIMEX in “the lab result at 6 am” states the time, but …",Q9RKGvWVLpwJ,"W Sun, A Rumshisky, O Uzuner - Journal of the American …, 2015 - academic.oup.com",[],https://academic.oup.com/jamia/article-abstract/22/5/1001/928475,unknown,unknown
It's High Time: A Survey of Temporal Question Answering,"B Piryani, A Abdallah, J Mozafari, A Anand…",2025.0,9,"… as detecting temporal intent, normalizing time expressions, … war"" must be interpreted relative to context. Another is cross-… of temporal-reasoning benchmarks that are not grounded in …",f7hb-p5neCAJ,"B Piryani, A Abdallah, J Mozafari, A Anand… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2505.20243,unknown,unknown
EventTempEx: A Tool for Interpreting Event-Anchored Temporal Expressions,"N Lal, PK Rajpoot, K Gurumurthy, N Omar",2025.0,0,"… , that focuses on event-anchored temporal expression normalization grounded in historical and real-… B-Instruct model effectively handles complex relative time expressions that require …",h-CGi3Iv1doJ,"N Lal, PK Rajpoot, K Gurumurthy, N Omar - … of the 17th annual meeting of …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3777867.3777876,unknown,unknown
"Time expression recognition and normalization: a survey: X. Zhong, E. Cambria","X Zhong, E Cambria",2023.0,19,… of time expressions (also known as “temporal expressions” … or partial expressions of periodic temporal sets that represent times … in scientific writing through the lens of relative entropy. In: …,u9tCv2JGxQ8J,"X Zhong, E Cambria - Artificial Intelligence Review, 2023 - Springer",[],https://link.springer.com/article/10.1007/s10462-023-10400-y,unknown,unknown
Time expression as update operations: Normalizing time expressions via a distantly supervised neural semantic parser,"W Ding, J Chen, J Li, Y Qu",2023.0,6,"… time expression normalization as a sequence of operations to construct the normalized time … From the perspective of update semantics, the normalization of temporal expressions can …",UXfxO0dePnwJ,"W Ding, J Chen, J Li, Y Qu - Knowledge-Based Systems, 2023 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0950705123006202,unknown,unknown
"Temporal data representation, normalization, extraction, and reasoning: A review from clinical domain","M Madkour, D Benhaddou, C Tao",2016.0,64,… Many grounded researches have been established for better extraction of … Relative/unanchored date and time … CNTRO is meant to annotate temporal expressions and relations in …,qcftsd81PaYJ,"M Madkour, D Benhaddou, C Tao - Computer methods and programs in …, 2016 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0169260715301188,unknown,unknown
"Spatio-temporal grounding of claims made on the web, in PHEME","L Derczynski, K Bontcheva",2014.0,14,… Social media messages also have at least a creation time as temporal context. This implicit … HeidelTime: High quality rule-based extraction and normalization of temporal expressions. In …,cGL-Vogd_fYJ,"L Derczynski, K Bontcheva - … Joint ISO-ACL SIGSEM Workshop on …, 2014 - adimen.ehu.eus",[],http://adimen.ehu.eus/~rigau/publications/ISA14-fsbovrh.pdf#page=73,unknown,unknown
How Should Video LLMs Output Time? An Analysis of Efficient Temporal Grounding Paradigms,"S Jin, Y Zou, V Zhu, Z Ji, C Chen",2026.0,2,… time embeddings to preserve the semantic integrity of pre-trained visual tokens. LITA [9] adopts a relative time … We now formally define the three temporal grounding output paradigms. …,K-vMAqfpGi4J,"S Jin, Y Zou, V Zhu, Z Ji, C Chen - arXiv preprint arXiv:2604.08966, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.08966,unknown,unknown
Timelens: Rethinking video temporal grounding with multimodal llms,"J Zhang, T Wang, Y Ge, Y Ge, X Li…",2026.0,33,"… for building performant video temporal grounding models, … , we study various aspects including time encoding, training … absolute temporal position of each frame and the relative order …",1mbL4Zok8lUJ,"J Zhang, T Wang, Y Ge, Y Ge, X Li… - Proceedings of the …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_TimeLens_Rethinking_Video_Temporal_Grounding_with_Multimodal_LLMs_CVPR_2026_paper.html,unknown,unknown
Compositional temporal grounding with structured variational cross-graph correspondence learning,"J Li, J Xie, L Qian, L Zhu, S Tang, F Wu…",2022.0,111,"… the normalized ground-truth time interval (ˆts, ˆte) ∈ [0, 1] and our prediction (ts,te). This term … We define the sensitivity metric as the relative performance degradation of the shuffled ver…",AUzglk3Qm9sJ,"J Li, J Xie, L Qian, L Zhu, S Tang, F Wu… - 2022 IEEE/CVF …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9879363/,unknown,unknown
Grounding is all you need? dual temporal grounding for video dialog,"Y Qin, W Ji, X Lan, H Fei, X Yang, D Guo…",2026.0,1,… Temporal Grounding Video temporal grounding (VTG) aims to pinpoint the start and end times … (3) λ weights the frame-level loss relative to the clip-level loss in the grounding objective (…,GczAnrjrr74J,"Y Qin, W Ji, X Lan, H Fei, X Yang, D Guo… - IEEE Transactions …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11417254/,unknown,unknown
A survey on temporal sentence grounding in videos,"X Lan, Y Yuan, X Wang, Z Wang, W Zhu",2023.0,99,"… where a standard captioning loss is introduced to maximize the normalized log-likelihood of the words generated at all T unrolled time steps, overall K groundtruth matching query-…",J4wlQwNYBwsJ,"X Lan, Y Yuan, X Wang, Z Wang, W Zhu - ACM Transactions on …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3532626,unknown,unknown
Look closer to ground better: Weakly-supervised temporal grounding of sentence in video,"Z Chen, L Ma, W Luo, P Tang, KYK Wong",2020.0,104,"… To generate the temporal proposals, we slide the windows across the timeline such that two … First, we normalize the matching scores between each frame and the sentence to [0, 1] by a …",5X6w2xyLxZYJ,"Z Chen, L Ma, W Luo, P Tang, KYK Wong - arXiv preprint arXiv …, 2020 - arxiv.org",[],https://arxiv.org/abs/2001.09308,unknown,unknown
Transvg: End-to-end visual grounding with transformers,"J Deng, Z Yang, T Chen, W Zhou…",2021.0,633,"… even if their predictions have similar relative errors. To address this problem, we normalize the coordinates of the ground-… Real-time referring expression comprehension by single-stage …",KxkQFoKuCqIJ,"J Deng, Z Yang, T Chen, W Zhou… - 2021 IEEE/CVF …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9710016/,unknown,unknown
It's High Time: A Survey of Temporal Question Answering,"B Piryani, A Abdallah, J Mozafari, A Anand…",2025.0,9,"… as detecting temporal intent, normalizing time expressions, … war"" must be interpreted relative to context. Another is cross-… of temporal-reasoning benchmarks that are not grounded in …",f7hb-p5neCAJ,"B Piryani, A Abdallah, J Mozafari, A Anand… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2505.20243,unknown,unknown
DeFuzzRAG: Handling Fuzzy Time Expressions for Temporal Robustness in Retrieval-Augmented Generation,"LC Chen, HW Chen, MS Chen",2026.0,0,"… ) addresses this by grounding LLM outputs in dynamically … on identifying and normalizing vague temporal expressions. … (iv) Relative Time Framing (RTF), where time is indicated through …",gpPTXQmhQOYJ,"LC Chen, HW Chen, MS Chen - … of the AAAI Conference on Artificial …, 2026 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI/article/view/40276,unknown,unknown
MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning,"J Ye, X Li, Y Xinyu, C Huang, L Nie…",2026.0,3,"… : a temporally grounded … Temporal grounding: By explicitly storing normalized time information in memory, MemWeaver can return grounded timestamps rather than unresolved relative …",NuNGORGbJ3AJ,"J Ye, X Li, Y Xinyu, C Huang, L Nie… - Findings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.findings-acl.630/,unknown,unknown
It's High Time: A Survey of Temporal Question Answering,"B Piryani, A Abdallah, J Mozafari…",2026.0,2,"… as detecting temporal intent, normalizing time expressions, … war"" must be interpreted relative to context. Another is cross-… of temporal-reasoning benchmarks that are not grounded in …",3C9OJgIMnVgJ,"B Piryani, A Abdallah, J Mozafari… - Proceedings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-long.1332/,unknown,unknown
