title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A framework to assess clinical safety and hallucination rates of LLMs for medical text summarisation,"E Asgari, N Montaña-Brown, M Dubois, S Khalil…",2025,422,… conducted the largest manual evaluation on the task of LLM clinical note generation to date. … to enable clinicians to identify and label relevant hallucinations and omissions in clinical text …,RxkiuyGUbVAJ,"E Asgari, N Montaña-Brown, M Dubois, S Khalil… - NPJ digital …, 2025 - nature.com",[],https://www.nature.com/articles/s41746-025-01670-7,unknown,unknown
A critical assessment of using ChatGPT for extracting structured data from clinical notes,"J Huang, DM Yang, R Rong, K Nezafati, C Treager…",2024,334,"… the fast development and promise of using LLM to extract structured data from clinical notes. … of an LLM depends on both the model and the prompt, mitigating hallucination can be …",unN7eA0znjkJ,"J Huang, DM Yang, R Rong, K Nezafati, C Treager… - NPJ digital …, 2024 - nature.com",[],https://www.nature.com/articles/s41746-024-01079-8,unknown,unknown
"Accuracy, consistency, and hallucination of large language models when analyzing unstructured clinical notes in electronic medical records",SV Shah,2024,100,"… vast amounts of unstructured data in clinical notes. Evolving LLMs, … Another study evaluated LLMs in extracting cognitive … The LLM’s performance in this study underscores the need for …",xfvJDGUuG-cJ,"SV Shah - JAMA Network Open, 2024 - jamanetwork.com",[],https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2822301,unknown,unknown
Large language models for data extraction from unstructured and semi-structured electronic health records: a multiple model performance evaluation,"V Ntinopoulos, HRC Biefer, I Tudorache…",2025,97,"… patient medical record at the beginning of the data extraction process, were associated with hallucinations … study assessed LLM performance only on data extraction from medical notes …",A7yTf5VxpgEJ,"V Ntinopoulos, HRC Biefer, I Tudorache… - BMJ health & care …, 2025 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC11751965/,unknown,unknown
Generative artificial intelligence for automated data extraction from unstructured medical text,"N Dao, L Quesada, SM Hassan, MI Campo…",2025,10,"… accuracy of 90% when evaluated at the note level. The most … structured data extraction from unstructured RHC procedure … , the LLM self-corrected only one out of four hallucinations, as …",ojKGJ_s6vUcJ,"N Dao, L Quesada, SM Hassan, MI Campo… - JAMIA …, 2025 - academic.oup.com",[],https://academic.oup.com/jamiaopen/article-abstract/8/5/ooaf097/8248163,unknown,unknown
Medical feature extraction from clinical examination notes: development and evaluation of a two-phase large language model framework,"M Abumelha, AAM Al-Ghamdi, A Fayoumi…",2025,3,"… the extracted features by identifying hallucinated and missed … evaluate a two-phase LLM framework for automated medical … for extracting structured data from electronic health records, …",kK2THfSQBcIJ,"M Abumelha, AAM Al-Ghamdi, A Fayoumi… - JMIR Medical …, 2025 - medinform.jmir.org",[],https://medinform.jmir.org/2025/1/e78432,unknown,unknown
Hallucinations and key information extraction in medical texts: A comprehensive assessment of open-source large language models,"AB Das, S Ahmed, SK Sakib",2025,14,"… key event extraction and hallucinations in LLM-driven … hallucinations in LLM-generated hospital discharge summaries, which can impact their reliability. Unsupported fact hallucinations …",qk-RL8rLgoYJ,"AB Das, S Ahmed, SK Sakib - 2025 IEEE EMBS International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11269492/,unknown,unknown
Clines: Clinical llm-based information extraction and structuring agent,"Z Yang, H Yuan, R Sayeed, ALM Tan, E Cai, M Moro…",2025,4,"… evaluate CLINES, a pipeline that extracts and normalizes … Given the residual hallucination rate quantified above, we … structured data, with the gains over single-prompt LLMs and full-size …",tLIOlB7AaqMJ,"Z Yang, H Yuan, R Sayeed, ALM Tan, E Cai, M Moro… - medRxiv, 2025 - medrxiv.org",[],https://www.medrxiv.org/content/medrxiv/early/2026/06/02/2025.12.01.25341355.full.pdf,unknown,unknown
Representation before retrieval: Structured patient artifacts reduce hallucination in clinical ai systems,"J Scanlin, A Cuesta, M Varsavsky",2026,1,"… We evaluated four conditions: baseline LLM (C0), RAG over … patient data into structured artifacts designed for LLM consumption. … of trustworthy clinical AI should prioritize structured data …",jctI7AFBJGMJ,"J Scanlin, A Cuesta, M Varsavsky - medRxiv, 2026 - medrxiv.org",[],https://www.medrxiv.org/content/10.64898/2026.02.13.26346256.abstract,unknown,unknown
"Adapting Generative Large Language Models for Electronic Health Record Applications: A Systematic Review of Methodologies, Evaluation, and Hallucinations","X Du, Z Zhou, Y Wang, YW Chuang, Y Li, R Yang…",2024,2,"… Through data extraction, we identified clinical specialties and tasks for each included article, … this review, we examined LLM’s applications on real-world EHR data across diverse clinical …",MzHZuXkotp8J,"X Du, Z Zhou, Y Wang, YW Chuang, Y Li, R Yang… - medRxiv, 2024 - medrxiv.org",[],https://www.medrxiv.org/content/10.1101/2024.08.11.24311828.abstract,unknown,unknown
