title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Memory matters: The need to improve long-term memory in llm-agents,"K Hatalis, D Christou, J Myers, S Jones…",2023.0,151,"… mined from episodic memory or reasoned) can be stored separately as semantic memory. We now … LLM agents support long-term memory capabilities, followed by risks and limitations. …",wjdvfiqDkgQJ,"K Hatalis, D Christou, J Myers, S Jones… - Proceedings of the …, 2023 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI-SS/article/view/27688,unknown,unknown
Mirix: Multi-agent memory system for llm-based agents,"Y Wang, X Chen",2025.0,151,"… store without routing into specialized memory types (eg, procedural, episodic, semantic), making … MIRIX, a novel memory architecture designed to enhance the longterm reasoning and …",3ZUdoPydNu4J,"Y Wang, X Chen - arXiv preprint arXiv:2507.07957, 2025 - arxiv.org",[],https://arxiv.org/abs/2507.07957,unknown,unknown
"Memory for autonomous llm agents: Mechanisms, evaluation, and emerging frontiers",P Du,2026.0,60,"… transition policy: when does an episodic record graduate to semantic status, and when does … reside in a “hot” buffer during a probation period and are promoted to long-term storage …",Hu-WcYLzwdMJ,"P Du - arXiv preprint arXiv:2603.07670, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.07670,unknown,unknown
Beyond dialogue time: Temporal semantic memory for personalized llm agents,"M Su, Y Guo, Z Hou, L Bai, Z Li, Y Zhang…",2026.0,9,"… LLM agents are increasingly equipped with longterm memory that grows and adapts over time… graph, we construct durative memory by aggregating episodic information into higher-level …",ffvuJfoTIu8J,"M Su, Y Guo, Z Hou, L Bai, Z Li, Y Zhang… - Findings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.findings-acl.1496/,unknown,unknown
Position: Episodic memory is the missing piece for long-term llm agents,"M Pink, Q Wu, VA Vo, J Turek, J Mu, A Huth…",2025.0,39,… to avoid capacity limitations and allow for generalization to new semantic knowledge and procedural skills based on specific instances. (b) Encoding: Limited in-context …,byDfCXr2qH0J,"M Pink, Q Wu, VA Vo, J Turek, J Mu, A Huth… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2502.06975,unknown,unknown
Himem: Hierarchical long-term memory for llm long-horizon agents,"N Zhang, X Yang, Z Tan, W Deng, W Wang",2026.0,12,"… longterm memory systems struggle to address simultaneously. First, semantic misalignment arises when extracted memories … long-term memory framework that integrates episodic and …",1DYtZTFnhZwJ,"N Zhang, X Yang, Z Tan, W Deng, W Wang - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.06377,unknown,unknown
MemMachine: A ground-truth-preserving memory system for personalized AI agents,"S Wang, E Yu, O Love, T Zhang, T Wong…",2026.0,13,"… Large language model (LLM) agents require persistent memory … episodic memory, and profile memory in a ground-truth-… that the LLM receives not just the most semantically similar turns…",mQKMg8ZLtX4J,"S Wang, E Yu, O Love, T Zhang, T Wong… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.04853,unknown,unknown
Synapse: Empowering llm agents with episodic-semantic memory via spreading activation,"H Jiang, J Chen, Y Pan, L Chen, W You…",2026.0,3,"… To comprehensively evaluate the effectiveness of SYNAPSE, we compare it against a diverse set of state-of-the-art long-term memory mechanisms. These baselines represent the …",hQM_iqAD_y4J,"H Jiang, J Chen, Y Pan, L Chen, W You… - Findings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.findings-acl.1108/,unknown,unknown
E-mem: Multi-agent based episodic context reconstruction for llm agent memory,"K Wang, Y Lin, J Lou, Z Zhou, B Suvonov…",2026.0,7,"… and adaptive memory systems are critical for agents to maintain long-term interaction … Unlike simple concatenation, the master agent actively resolves semantic conflicts by enforcing …",UKR5o9tQwwYJ,"K Wang, Y Lin, J Lou, Z Zhou, B Suvonov… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.21714,unknown,unknown
Memoria: A scalable agentic memory framework for personalized conversational ai,"S Sarin, L Singh, B Sarmah…",2025.0,13,"… , and long-term personalization. Agentic memory [2] refers to the capacity of an LLM agent … We propose solving the episodic and semantic memory capabilities of LLM applications. …",cxN18OCJJjoJ,"S Sarin, L Singh, B Sarmah… - 2025 5th International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11330332/,unknown,unknown
