title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Hallucination Detection in Structured Query Generation via LLM Self-Debating.,"M Li, J Chen, M Xu, X Wang",2025.0,6,"… in adhering to SPL’s structural constraints or lack of relevant … the faithful consistency of generated content through structured … In this setting, hallucinations typically stem from schema …",H-uo8iQU-qYJ,"M Li, J Chen, M Xu, X Wang - EMNLP (Findings), 2025 - aclanthology.org",[],https://aclanthology.org/anthology-files/anthology-files/pdf/findings/2025.findings-emnlp.873.pdf,unknown,unknown
Towards Faithful and Explainable Large Language Models: A Knowledge Graph-Guided Framework for Reasoning Enhancement and Hallucination Mitigation,"C Wang, Z Cao, K Zhou",2025.0,3,"… , referred to as structure-aware reasoning, leverages linearly organized reasoning chains extracted rom s as “tracks” along which the LLM is constrained to generate its output. The …",c0wLFAjrZYMJ,"C Wang, Z Cao, K Zhou - 2025 IEEE/ACIS 29th International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11253421/,unknown,unknown
StructHallu-Drift: Benchmarking Structured Hallucinations Under Schema Evolution in LLMs,M Hasan,2026.0,1,… While recent advances in constrained decoding and schema… Spider in three ways: we study multiple structured output … hallucination types rather than measuring accuracy degradation. …,XiiDaEjyHDQJ,"M Hasan - Proceedings of the First Workshop on Structured …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.surgellm-1.22/,unknown,unknown
Faithful Structured Representation from Clinical Notes via Iterative Feedback–Refinement,"EA Mohamed, I Logothetis, A Bingham, K Mouzakis",2026.0,0,"… into precision (absence of hallucination) and recall (absence of … dual-LLM evaluator–refiner loop that induces a faithful, … a structured output consisting of (1) the revised schema S(k), (2) …",e7NJtYMFKfQJ,"EA Mohamed, I Logothetis, A Bingham, K Mouzakis - 2026 - researchsquare.com",[],https://www.researchsquare.com/article/rs-10249995/latest.pdf,unknown,unknown
Mitigating LLM Hallucinations In Construction Safety: A Model-First Framework With Retrieval-Augmented Validation,"QV Phung, MH Nguyen, QT Nguyen…",2026.0,0,"… , including the lack of constraint grounding in authoritative … in hazard identification but notably high faithfulness (0.95). Xu et al. (… Structured output generation has been shown to improve …",HTzrAwoxPJAJ,"QV Phung, MH Nguyen, QT Nguyen… - CIB …, 2026 - docs.lib.purdue.edu",[],https://docs.lib.purdue.edu/cib-conferences/vol2/iss1/37/,unknown,unknown
Domain-Aware Hallucination Characterization and Mitigation in LLM-Generated SQL,"PS Merchant, DA Ostrowski",2026.0,0,"… domain-specific hallucinations persist as constraint violations, … that correctness failures in structured tasks stem from … schema validation, hallucination detection, and constraint-aware …",krZoRJIJ93oJ,"PS Merchant, DA Ostrowski - 2026 International Conference on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11486484/,unknown,unknown
Structured Hallucination in Tool-Using Agents: Measuring and Mitigating LLM Synthesis Corruption in Production,TT Hoang,,0,"… We evaluate the strongest available constrained-decoding baseline (Gemini response schema, Condition C) and show it leads the tail but does not eliminate corruption. …",jjaU1e8wLNUJ,TT Hoang - Second Workshop on Agents in the Wild: Safety … - openreview.net,[],https://openreview.net/forum?id=CaJudGHxoR,unknown,unknown
LLM Psychosis: A Theoretical and Diagnostic Framework for Reality-Boundary Failures in Large Language Models,A Raj,2026.0,1,"… hallucination—fails to adequately characterize. This paper introduces LLM Psychosis as a structured … ERI), Premise Arbitration Integrity (PAI), Logical Constraint Recognition (LCR), Self-…",xJUaNrpSbDcJ,"A Raj - arXiv preprint arXiv:2604.25934, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.25934,unknown,unknown
Distortion instead of hallucination: The effect of reasoning under strict constraints,J Niimi,2026.0,3,… Reasoning models compromise faithfulness to ensure constraint compliance Contrary to … imposed strong constraints on the LLM prompt design: not only restricting outputs to journal …,4bphFQamH2sJ,"J Niimi - arXiv preprint arXiv:2601.01490, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.01490,unknown,unknown
A systematic literature review of hallucinations in large language models,"C Woesle, L Fischer-Brandies, R Buettner",2025.0,27,"… landscape of research on LLM hallucinations. To this extent, … coupled with the LLM to guide and constrain the generation … -DoG, proving more faithful than models trained specifically …",s6r--NGqW4EJ,"C Woesle, L Fischer-Brandies, R Buettner - IEEE Access, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11132297/,unknown,unknown
