title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Jsonschemabench: A rigorous benchmark of structured outputs for language models,"S Geng, H Cooper, M Moskal, S Jenkins…",2025,92,"… terms constrained decoding framework and grammar engine … for constrained decoding frameworks with JSON schemas, … (LLM Inference): We implement prefix caching during LLM …",3g8UwLrEQFkJ,"S Geng, H Cooper, M Moskal, S Jenkins… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2501.10868,unknown,unknown
Slot: Structuring the output of large language models,"DYB Wang, Z Shen, SS Mishra, Z Xu…",2025,31,"… SLOT for structured output conversion applicable to any textual LLM … In this paper, we focus specifically on JSON schema due to … We observe that constrained decoding methods reveal …",XI_MRaIg3IYJ,"DYB Wang, Z Shen, SS Mishra, Z Xu… - arXiv preprint arXiv …, 2025 - aclanthology.org",[],https://aclanthology.org/anthology-files/anthology-files/pdf/emnlp/2025.emnlp-industry.32.pdf,unknown,unknown
Think inside the json: Reinforcement strategy for strict llm schema adherence,"B Agarwal, I Joshi, V Rojkova",2025,27,"… Techniques like grammar- or regex-guided decoding … to constraint-based decoding—can improve structured output, … filled JSON schema, yet differs in structure, style, and formatting. …",5Chgg75LhIwJ,"B Agarwal, I Joshi, V Rojkova - arXiv preprint arXiv:2502.14905, 2025 - arxiv.org",[],https://arxiv.org/abs/2502.14905,unknown,unknown
SLOT: structuring the output of large language models,"Z Shen, DYB Wang, SS Mishra, Z Xu…",2025,15,"… SLOT for structured output conversion applicable to any textual LLM … In this paper, we focus specifically on JSON schema due to … We observe that constrained decoding methods reveal …",fbFMrWYEIc4J,"Z Shen, DYB Wang, SS Mishra, Z Xu… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.emnlp-industry.32/,unknown,unknown
Constrained decoding of diffusion llms with context-free grammars,"N Mündler, J Dekoninck…",2026,16,"… has proposed constrained decoding to restrict LLM generation … present the first constrained decoding method for diffusion … , ie, in the case of JSON schemas, or when specifying the …",PTKBDaPpykkJ,"N Mündler, J Dekoninck… - … Conference on Learning …, 2026 - proceedings.iclr.cc",[],https://proceedings.iclr.cc/paper_files/paper/2026/hash/a1622fc2f8e37ea5fc696d1c13861c36-Abstract-Conference.html,unknown,unknown
"JSONSchemaBench: Evaluating constrained decoding with LLMs on efficiency, coverage and quality","S Geng, H Cooper, M Moskal, S Jenkins…",2025,3,"… -world JSON schemas that encompass a wide range of constraints … for specifying constraints on structured outputs, ensuring … (LLM Inference): We implement prefix caching during LLM …",oyBAm1StPfUJ,"S Geng, H Cooper, M Moskal, S Jenkins… - ES-FoMo III: 3rd …, 2025 - openreview.net",[],https://openreview.net/forum?id=FKOaJqKoio,unknown,unknown
WGRAMMAR: Leverage Prior Knowledge to Accelerate Structured Decoding,"R Wang, X Liu, H Ren, G Chen, F Qi, M Sun",2025,3,"… Leveraging this, we propose a decomposition of constraints into … To support structured output, users employ front-end … a JSON schema that defines the expected output structure. The …",WucqCQF7rtQJ,"R Wang, X Liu, H Ren, G Chen, F Qi, M Sun - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2507.16768,unknown,unknown
Token-Oriented Object Notation vs JSON: A Benchmark of Plain and Constrained Decoding Generation,I Matveev,2026,4,"… in LLM comprehension1, there is a lack of tests against JSON … JSON generation vs structured output (SO) (constrained … these constraints (such as JSON Schema, regex, or grammar) …",cpn9aXtaon0J,"I Matveev - arXiv preprint arXiv:2603.03306, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.03306,unknown,unknown
Empirical Study for Structured Output Control in LLMs for Software Engineering,"Y Song, P Rajput, T Sun, S Ezzini, TF Bissyandé…",2026,1,"… targeting the decoder: grammarconstrained decoding, regex-based … whether residual failures in LLM structured outputs are due to … : JSON Schema-constrained and RegEx-constrained …",srxatjKtMP4J,"Y Song, P Rajput, T Sun, S Ezzini, TF Bissyandé… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.09395,unknown,unknown
Efficient Grammar-Constrained Decoding via Parser Stack Classification,"Y Li, Y Dong, J Li, G Li",2026,0,"… used to generate structured output like source code or JSON. … that adheres to the syntax of programming languages, and LLM-… We generate the Lark grammar from the JSON schemas …",1VhboRqyx6wJ,"Y Li, Y Dong, J Li, G Li - arXiv preprint arXiv:2608.03065, 2026 - arxiv.org",[],https://arxiv.org/abs/2608.03065,unknown,unknown
